"AccBinomial","meanHeight","minHeight","maxHeight","meanLeaf.length","minLeaf.length","maxLeaf.length","meanLeaf.width","minLeaf.width","maxLeaf.width","meanCorolla.radius","minCorolla.radius","maxCorolla.radius","meanCorolla.tube.length","minCorolla.tube.length","maxCorolla.tube.length","meanCorolla.lobe.length","minCorolla.lobe.length","maxCorolla.lobe.length","meanStyle.length","minStyle.length","maxStyle.length","meanFruit.size","minFruit.size","maxFruit.size","Self..in.compatibility","Ploidy","HapN","Life.history","Habit","Stem.composition","Leaf.type","Corolla.color","Fruit.type","Fruit.color"
"Solanum cajamarquense",0.5,0.5,0.5,190,190,190,"NA","NA","NA",13.75,12.5,15,"NA","NA","NA","NA","NA","NA",10,10,10,13.75,10,15,"SI","Diploid",12,"Perennial",,"Herbaceous","Compound","white, cream","Berry","Green"
"Solanum cajanumense",3,1,5,330,260,400,290,180,400,13.5,8,19,1.5,1,2,12,7,17,8,6,10,72.5,45,100,"SC","Diploid",12,"Perennial","Tree","Woody","Simple","white, green, purple","Berry",
"Solanum caldasii","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SI","Diploid",12,,,,,,,
"Solanum caldasii var. glabrescens","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SI",,,,,,,,,
"Solanum calidum",3,1,5,335,220,450,155,110,200,12,8,16,2,1.5,2.5,11,7,15,4.5,4,5,37.5,25,50,,"Diploid",12,,"Tree",,"Simple","white, yellow, green, blue, purple, brown","Berry",
"Solanum calileguae","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,,,,,,,,,
"Solanum callianthum",5.75,1.5,10,134,78,190,60,35,85,8.75,7.5,10,"NA","NA","NA","NA","NA","NA",7.5,5,10,16,15,17,,,,,"Shrub, Tree",,"Simple","white, pink","Berry","Green"
"Solanum campaniforme",2.5,1,4,95,50,140,32.5,20,45,7.5,6,9,"NA","NA","NA","NA","NA","NA",6,5,7,15,10,20,,,,,"Shrub",,"Simple","white","Berry","Green, Blue"
"Solanum campanulatum",1,1,1,105,80,130,70,50,90,18.475,7.5,28.2,"NA","NA","NA","NA","NA","NA",12.9,12.9,12.9,22.5,20,25,"SC","Diploid",12,"Perennial, Short-lived Perennial","Shrub","Woody","Simple","light purple, purple","Berry","Yellow, Green"
"Solanum campechiense",0.6,0.6,0.6,85,50,120,65,60,70,8.75,7.5,10,"NA","NA","NA","NA","NA","NA","NA","NA","NA",12.5,10,15,"SC",,,"Annual","Herb","Herbaceous","Simple","light blue, light purple","Berry","Red"
