"AccBinomial","meanHeight","minHeight","maxHeight","meanLeaf.length","minLeaf.length","maxLeaf.length","meanLeaf.width","minLeaf.width","maxLeaf.width","meanCorolla.radius","minCorolla.radius","maxCorolla.radius","meanCorolla.tube.length","minCorolla.tube.length","maxCorolla.tube.length","meanCorolla.lobe.length","minCorolla.lobe.length","maxCorolla.lobe.length","meanStyle.length","minStyle.length","maxStyle.length","meanFruit.size","minFruit.size","maxFruit.size","Self..in.compatibility","Ploidy","HapN","Life.history","Habit","Stem.composition","Leaf.type","Corolla.color","Fruit.type","Fruit.color"
"Solanum ramonense",1.5,1,2,120,90,150,53.5,42,65,2.75,2.5,3,"NA","NA","NA","NA","NA","NA",3.25,3,3.5,15,14,16,,"Diploid",12,,"Shrub",,"Simple","white","Berry","Green"
"Solanum ramulosum","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"Diploid",12,,,,,,,
"Solanum raphanifolium",0.3,0.3,0.3,100,50,150,"NA","NA","NA",13.3333333333,12.5,15,"NA","NA","NA","NA","NA","NA",8.25,7.5,9,20,20,20,,"Diploid",12,"Perennial","Herb","Herbaceous","Compound","blue, purple","Berry","Green, Purple/Violet/Black"
"Solanum raquialatum",0.85,0.8,0.9,336.6666666667,280,430,170,170,170,15.8333333333,15,17.5,"NA","NA","NA","NA","NA","NA",9.25,8,10,"NA","NA","NA",,"Diploid",12,"Perennial","Herb","Herbaceous","Compound","blue, light purple, white",,
"Solanum reductum","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"Diploid",12,,,,,,,
"Solanum reitzii",8,8,8,109.5,99,120,47.5,45,50,6.5,6,7,"NA","NA","NA","NA","NA","NA",4.75,4.5,5,10,10,10,,,,,"Tree",,"Simple","white","Berry","Green"
"Solanum remyanum",0.6,0.2,1,59,33,85,31.5,8,55,8.25,5.5,11,1.25,1,1.5,8,6,10,9,8,10,5.5,4,7,,,,,"Shrub","Woody","Compound","blue, purple","Berry",
"Solanum repandum",1,1,1,"NA","NA","NA","NA","NA","NA",12.5,12.5,12.5,"NA","NA","NA",14.5,14.5,14.5,7.5,7.5,7.5,"NA","NA","NA","SC","Diploid",12,"Perennial",,"Woody",,"white",,
"Solanum restingae",2.25,2,2.5,132.5,110,155,52.5,35,70,6.25,5,7.5,"NA","NA","NA","NA","NA","NA",5.5,5,6,9,8,10,,,,,"Shrub",,"Simple","white","Berry","Green"
"Solanum retroflexum",0.6,0.5,0.7,60,60,60,40,40,40,6,5.25,7.5,"NA","NA","NA","NA","NA","NA",3.25,3.25,3.25,9,9,9,"SC","Polyploid",24,"Annual","Herb","Herbaceous","Simple","white, purple",,"Purple/Violet/Black"
"Solanum retrorsum",0.75,0.5,1,95,40,150,32.5,15,50,"NA","NA","NA","NA","NA","NA",5.5,5,6,"NA","NA","NA",8,6,10,,,,,"Subshrub, Shrub",,"Simple","blue, purple","Berry","Red"
"Solanum rhomboideilanceolatum",0.7,0.7,0.7,150,150,150,"NA","NA","NA",19.375,15,25,"NA","NA","NA","NA","NA","NA",11,10,12,20,20,20,,"Diploid",12,"Perennial",,"Herbaceous","Compound","blue, purple","Berry","Green"
"Solanum richardii",2,2,2,155,110,200,110,80,140,25,20,30,"NA","NA","NA","NA","NA","NA","NA","NA","NA",45,40,50,,,,"Perennial","Shrub","Woody","Simple","pink, blue, light purple","Berry","Orange, Yellow"
"Solanum riparium",8,1,15,230,60,400,70,50,90,8.25,6.5,10,"NA","NA","NA",6,5.5,6.5,"NA","NA","NA",10.5,9,12,,"Diploid",12,,"Shrub, Tree",,,"white, blue, purple","Berry",
"Solanum ripense",3.5,2,5,150,120,180,92.5,60,125,6.75,6,7.5,"NA","NA","NA","NA","NA","NA",6.25,5.5,7,11,10,12,,"Diploid",12,,"Tree",,"Simple","white","Berry","Green"
"Solanum rivicola","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"Diploid","12, 24",,,,,,,
"Solanum rixosum","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,,,"Perennial","Shrub",,,,,
"Solanum roblense",2.5,1,4,110.5,65,156,34,22,46,5.75,5,6.5,"NA","NA","NA","NA","NA","NA",5.5,5.5,5.5,9.5,8,11,,,,,"Shrub, Tree",,"Simple","white","Berry","Green"
"Solanum robustifrons",2.75,0.5,5,312.5,180,445,185,95,275,5.5,5,6,"NA","NA","NA","NA","NA","NA",5.5,5,6,10.5,10,11,,"Diploid",12,,"Shrub",,"Simple","white","Berry","Green"
"Solanum robustum",3,3,3,250,250,250,150,150,150,12.5,12.5,12.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA",15,15,15,"SC","Diploid",12,"Perennial","Shrub","Woody","Simple","white","Berry",
"Solanum rojasianum",2.75,2,3.5,295,280,310,245,220,270,11.5,10,13,2,2,2,9.5,8,11,3.5,3,4,57.5,50,65,,"Diploid",12,,"Shrub",,"Simple","green, purple, brown","Berry",
"Solanum roseum",3.5,2,5,205,170,240,105,80,130,10.8333333333,10,15,3.5,3,4,11,8,14,6,5,7,30,20,40,"SI, SC","Diploid",12,,"Tree",,"Simple","red, purple","Berry","Orange, Yellow"
"Solanum rostratum",0.85,0.7,1,126.6666666667,70,160,"NA","NA","NA",14.4166666667,11.5,17.5,"NA","NA","NA","NA","NA","NA",13,13,13,10.5,9,12,"SC, SI","Diploid",12,"Annual","Herb","Herbaceous","Simple, Compound","yellow","Berry",
"Solanum rovirosanum",6,2,10,220,90,350,102.5,35,170,6.75,6,7.5,"NA","NA","NA","NA","NA","NA",7.5,7,8,12.5,10,15,,"Diploid",12,,"Shrub, Tree",,"Simple","white","Berry","Yellow"
"Solanum rubetorum",2,2,2,50,50,50,20,20,20,12.5,10,15,"NA","NA","NA","NA","NA","NA","NA","NA","NA",10,10,10,,,,,"Shrub",,"Simple","purple","Berry","Orange"
"Solanum rudepannum",3.5,3.5,3.5,145,90,200,95,50,140,16.625,13.25,25,"NA","NA","NA","NA","NA","NA","NA","NA","NA",16.25,10,20,,,,,"Shrub, Tree",,"Simple","white","Berry","Yellow, Green"
"Solanum rufescens","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"Diploid",12,,,,,,,
"Solanum rugosum",5,1,9,200,150,250,70,40,100,7.5,7,8,"NA","NA","NA","NA","NA","NA","NA","NA","NA",10,9,11,,"Diploid",12,,"Shrub, Tree",,,"white","Berry","Yellow"
"Solanum ruizii","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,,,,,,,,,
"Solanum runsoriense","NA","NA","NA","NA","NA","NA","NA","NA","NA",10,10,10,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,,,,"Shrub",,"Simple","blue, purple",,
"Solanum ruvu","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,,,,,,,,,
"Solanum sagittantherum",1.5,1.5,1.5,120,30,210,45,10,80,8.75,7.5,10,"NA","NA","NA",7,5,9,7,6,8,12.5,10,15,,,,,"Subshrub",,"Simple","white","Berry","Green"
"Solanum salasianum","NA","NA","NA","NA","NA","NA","NA","NA","NA",15,15,15,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"Diploid",12,"Perennial","Herb","Herbaceous","Compound","light purple","Berry",
"Solanum salicifolium","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"Diploid",12,,,,,,,
"Solanum sanchez-vegae",6,6,6,85,50,120,37.5,25,50,12.25,9.5,15,"NA","NA","NA",7.5,7,8,8.5,7,10,13.5,12,15,,,,,"Shrub, Vine","Woody","Simple","light purple","Berry","Purple/Violet/Black"
"Solanum sanctaemarthae",6,6,6,160,160,160,"NA","NA","NA",9.75,9.5,10,"NA","NA","NA",10.8,10.8,10.8,7.5,7,8,12.5,10,15,"SI","Diploid",12,"Perennial","Shrub, Vine","Woody","Compound","light purple","Berry","Green"
"Solanum sandwicense","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SI","Diploid",12,"Perennial",,"Woody",,,,
"Solanum sanfurgoi","NA","NA","NA",40,30,50,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,,,,,"Woody","Simple","white","Berry",
"Solanum santolallae f. velutinum",0.9,0.9,0.9,350,350,350,"NA","NA","NA",10.75,9,12.5,"NA","NA","NA","NA","NA","NA",6.5,5,8,25,25,25,,"Diploid",12,,,,"Compound","white, blue, purple","Berry","Purple/Violet/Black"
"Solanum santosii",2.25,1.5,3,135,120,150,55,45,65,4.5,4,5,"NA","NA","NA","NA","NA","NA",5.5,5,6,11.5,10,13,,,,,"Shrub",,"Simple","white, green","Berry","Green"
"Solanum sarachoides","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SC",,,,,"Herbaceous",,,,
"Solanum sarrachoides",0.6333333333,0.1,0.9,37.5,20,60,20,10,30,3.75,1.5,6.25,"NA","NA","NA","NA","NA","NA",3.25,3.25,3.25,7.25,6,10,"SC","Diploid",12,"Perennial,  Annual, Annual","Herb","Herbaceous","Simple","white","Berry","Green, Purple/Violet/Black, Brown, Yellow"
"Solanum saturatum",2.5,1,4,110,70,150,65,30,100,21.25,20,22.5,25,25,25,10,10,10,11,11,11,"NA","NA","NA",,,,,"Shrub, Tree",,"Simple","white","Berry",
"Solanum savanillense",1.2,1.2,1.2,135,100,170,115,70,160,5.5,5,6,"NA","NA","NA","NA","NA","NA",5.5,5,6,15,10,20,,,,,"Shrub",,"Compound","white, purple","Berry","Green"
"Solanum scabrifolium","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"Diploid",12,"Perennial",,"Herbaceous","Compound","blue, purple","Berry",
"Solanum scabrum",1,1,1,95,20,130,60,20,80,7.3333333333,5,9,"NA","NA","NA",3.75,2.5,5,2.95,2.9,3,11.25,5,15,"SC","Polyploid","36, 24","Annual, Short-lived Perennial","Herb","Herbaceous, Woody","Simple","white, purple","Berry","Purple/Violet/Black"
"Solanum schenckii",0.45,0.45,0.45,"NA","NA","NA","NA","NA","NA",13.75,12.5,15,"NA","NA","NA","NA","NA","NA",9.5,9.5,9.5,"NA","NA","NA","SC","Polyploid",36,"Perennial","Herb","Herbaceous","Compound","light purple, purple, blue","Berry",
"Solanum schimperianum",1.5,1.5,1.5,85,50,120,55,30,80,7.5,7.5,7.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA",6,6,6,,,,,"Shrub",,"Simple","pink, light purple",,"Red"
"Solanum schlechtendalianum",2.5,1,4,110,70,150,52.5,35,70,4,4,4,"NA","NA","NA","NA","NA","NA",4.5,4.5,4.5,7.5,7,8,,,,,"Shrub",,,"white","Berry","Purple/Violet/Black"
"Solanum schliebenii",5,4,6,300,300,300,140,140,140,4.25,4,4.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,,,,"Shrub, Tree",,"Simple","blue, purple",,
"Solanum schumannianum",2,2,2,170,170,170,40,40,40,5,5,5,"NA","NA","NA","NA","NA","NA","NA","NA","NA",8,8,8,,,,,"Shrub",,"Simple","white, light blue, light purple",,"Red"
"Solanum sciadostylis",2,1,3,175,70,280,140,50,230,11,7,15,2,1,3,8,5,11,3.5,3,4,28.5,25,32,"SI","Diploid",12,"Perennial","Shrub, Tree","Woody","Simple, Compound","white, pink, purple","Berry","White, Green"
"Solanum scuticum",2.25,1.5,3,190,150,230,95,70,120,10,10,10,15,14,16,8,8,8,8,8,8,14,14,14,,"Diploid",12,"Perennial","Shrub","Woody","Simple","white","Berry","Orange, Yellow"
"Solanum seaforthianum",4.5,1,6,87.5,40,160,55,40,70,11.5,4.5,25,"NA","NA","NA",6.5,5,8,10,10,10,15,10,20,"SC","Diploid",12,"Perennial","Vine","Woody","Simple, Compound","white, blue, purple","Berry","Red"
"Solanum sejunctum","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,,,,,,,,,
"Solanum selachophyllum",3.25,1.5,5,175,130,220,37.5,25,50,7,7,7,"NA","NA","NA",5.5,5,6,"NA","NA","NA",25,20,30,,,,,"Shrub",,,"blue, light purple, purple","Berry",
"Solanum semiarmatum",2,2,2,150,100,200,105,60,150,7.5,5,10,"NA","NA","NA","NA","NA","NA","NA","NA","NA",10,8,12,,"Diploid",12,,"Shrub",,"Simple","blue, purple","Berry","Red, Purple/Violet/Black"
"Solanum septemlobum","NA","NA","NA",60,30,90,40,20,60,4.5,4,5,"NA","NA","NA",5,4,6,7,7,7,8,8,8,,,,,"Herb, Shrub",,"Simple","green, purple","Berry","Red"
"Solanum serpens","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,,,"Perennial","Shrub",,,,,
"Solanum sessile",5,2,8,275,150,400,145,90,200,10,7.5,12.5,"NA","NA","NA","NA","NA","NA",5.5,1,10,12.5,10,15,,"Diploid",12,,"Shrub, Tree",,"Simple","white","Berry","Green"
"Solanum sessiliflorum",1,1,1,450,450,450,"NA","NA","NA",12.5,10,15,"NA","NA","NA","NA","NA","NA","NA","NA","NA",60,60,60,"SC","Diploid",12,"Perennial","Shrub","Woody","Simple","white, green","Berry","Orange, Yellow"
"Solanum setaceum",1.2,1.2,1.2,25,25,25,15,15,15,7.5,7.5,7.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA",8,8,8,,,,,"Shrub",,"Simple","blue, purple","Berry","Red"
"Solanum sibundoyense",6,4,8,285,200,370,215,150,280,14.5,10,19,1.5,1,2,12.5,8,17,6.5,6,7,35,10,60,"SI","Diploid",12,"Perennial","Tree","Woody","Simple","green, blue, light purple, purple","Berry","Orange, Yellow"
"Solanum sieberi",3,1,5,125,90,160,60,30,90,4.5,4,5,"NA","NA","NA","NA","NA","NA",5.5,5,6,10,10,10,,"Diploid",12,,"Shrub, Tree",,"Simple","white","Berry","Green"
"Solanum silvestre",1.4,1,1.8,90.5,59,122,28,20,36,13,10,16,"NA","NA","NA","NA","NA","NA",8,7.5,8.5,15,13,17,,,,"Perennial","Shrub",,"Simple","purple",,"Yellow, Green"
"Solanum simile",1,0.5,1.5,60,40,80,15,10,20,12.5,10,15,"NA","NA","NA","NA","NA","NA",6,5,7,"NA","NA","NA","SC","Polyploid",23,"Perennial","Shrub","Woody","Simple","blue, purple, light purple","Berry","Green"
"Solanum simplicissimum","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"Diploid",12,"Perennial",,"Herbaceous",,,,
"Solanum sinuatiexcisum",1.625,0.75,2.5,130,100,160,90,60,120,5.75,5,6.5,13.25,11.5,15,"NA","NA","NA",8.25,7.5,9,8.5,7,10,,"Diploid",12,,"Herb, Shrub",,"Simple","yellow, blue, light purple, purple","Berry",
"Solanum sinuatirecurvum",0.175,0.15,0.2,15,10,20,"NA","NA","NA",11.25,10,12.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,,,"Perennial",,,"Simple","blue, purple",,
"Solanum sisymbriifolium",0.8,0.5,1.5,218.3333333333,40,400,250,250,250,14.375,12.5,15,"NA","NA","NA","NA","NA","NA","NA","NA","NA",13.5,8,20,"SI, SC","Diploid",12,"Annual","Herb","Herbaceous","Simple","white, pink, light blue, purple","Berry","Red"
"Solanum sitiens",0.5166666667,0.2,0.7,42.25,19,70,30,10,50,10.5,9,12.5,6.5,6,7,5.5,5,6,10.5,10,12,10.6666666667,10,13,"SI","Diploid",12,"Perennial","Shrub, Herb","Herbaceous, Woody base","Compound","yellow","Berry","Yellow"
"Solanum skutchii",7.5,7.5,7.5,50,40,60,"NA","NA","NA",6.6,6.6,6.6,"NA","NA","NA","NA","NA","NA",8,8,8,15,15,15,"SI",,,"Perennial","Vine","Woody","Compound","white","Berry","Red, Orange"
"Solanum smithii",1,1,1,105,55,155,35,15,55,8.75,7.5,10,"NA","NA","NA","NA","NA","NA",6.5,6,7,11,10,12,,,,,"Shrub",,"Simple","white","Berry","White, Green"
"Solanum sodiroi",3,3,3,73.75,30,100,"NA","NA","NA",11.8666666667,9.4,14.3,"NA","NA","NA",9.25,7,10,7.375,7,8.5,25,25,25,"SI","Diploid","12, 11","Perennial","Vine","Woody","Simple, Compound","white, green","Berry","Red, Orange"
"Solanum sodomeum","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SC","Diploid",12,"Perennial",,"Woody",,,,
"Solanum sogarandinum",0.2,0.2,0.2,200,200,200,"NA","NA","NA",15,15,15,"NA","NA","NA","NA","NA","NA",8,8,8,"NA","NA","NA",,"Diploid","18, 12","Perennial","Herb","Herbaceous","Compound","yellow, green, blue, light purple, purple","Berry",
"Solanum somalense",1.5,1,2,80,80,80,50,50,50,17.5,17.5,17.5,"NA","NA","NA","NA","NA","NA",12,12,12,12.5,10,15,,,,,"Shrub",,"Simple",,,"Orange"
"Solanum sousae","NA","NA","NA",48.5,27,70,30,10,50,8.75,7.5,10,"NA","NA","NA",6.5,5,8,8,7,9,"NA","NA","NA",,,,,"Vine","Woody","Simple","white","Berry",
"Solanum sparsipilum subsp. calcense","NA","NA","NA","NA","NA","NA","NA","NA","NA",12.5,10,15,"NA","NA","NA","NA","NA","NA",15,10,20,"NA","NA","NA",,"Diploid",12,,,,"Compound","light blue, blue, light purple, purple",,
"Solanum spirale",2.75,1,4,145,70,210,42.25,20,88,7.375,6.5,8,"NA","NA","NA","NA","NA","NA",6.5,6,7,13,10,16,"SC","Diploid","24, 12",,"Shrub",,"Simple","white","Berry","Orange, Yellow"
"Solanum spissifolium","NA","NA","NA",20,10,30,4.5,4,5,5.25,5,5.5,"NA","NA","NA","NA","NA","NA",5,5,5,12.5,10,15,,,,,"Subshrub, Shrub",,"Simple","white","Berry","Red, Orange"
"Solanum sporadotrichum","NA","NA","NA",112.5,55,170,57.5,15,100,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",17,16,18,,,,"Perennial","Shrub",,"Simple","white, purple","Berry",
"Solanum stagnale","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SC","Diploid",12,"Perennial",,"Woody",,,,
"Solanum stelligerum","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"Diploid",12,"Perennial","Shrub",,,,,
"Solanum stenandrum","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,,,,"Subshrub",,,,,
"Solanum stenophyllidium",0.41625,0.2,0.75,98.3333333333,50,150,"NA","NA","NA",11.3,7.5,15,"NA","NA","NA",7.25,7.25,7.25,8.375,6,10,10,10,10,"SI","Diploid",12,"Perennial","Herb","Herbaceous","Compound","white, pink, light purple, cream, purple","Berry","White, Green"
"Solanum stenophyllum","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,,,,,,,,,
"Solanum stenopterum","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,,,,,"Herbaceous",,,,
"Solanum stipitatostellatum",2,2,2,70,60,80,35,30,40,9.5,9,10,"NA","NA","NA","NA","NA","NA","NA","NA","NA",8,8,8,,,,,"Shrub",,"Simple","blue, purple","Berry","Red"
"Solanum stipulaceum",4.5,4,5,125,90,160,26.5,13,40,6.75,6,7.5,"NA","NA","NA",6,4,8,"NA","NA","NA",11,11,11,,,,,"Shrub, Tree",,,"light blue, blue","Berry",
"Solanum stipulatum",1.25,0.5,2,157.5,110,205,36,17,55,5,5,5,"NA","NA","NA","NA","NA","NA",5,5,5,8,6,10,,,,,"Subshrub, Shrub",,"Simple","white","Berry","Green"
"Solanum stipuloideum",0.48875,0.15,0.8,180,180,180,"NA","NA","NA",8.75,7.5,10,"NA","NA","NA","NA","NA","NA",8.5,8,10,25,20,30,"SI","Diploid",12,"Perennial","Herb","Herbaceous","Compound, Simple","white, light yellow","Berry","Green, Purple/Violet/Black"
"Solanum stoloniferum",0.385,0.08,0.8,166.0714285714,30,270,"NA","NA","NA",9.8888888889,5,12.75,"NA","NA","NA",3,3,3,7.6071428571,5,10,13.1666666667,8,20,"SC","Polyploid",24,"Perennial","Herb","Herbaceous, Woody base","Compound, Simple","white, light purple, purple, blue, pink, light blue","Berry","White, Green, Purple/Violet/Black"
"Solanum storkii","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,,,,,,,,,
"Solanum stramoniifolium",1.5,1.5,1.5,"NA","NA","NA","NA","NA","NA",10,10,10,"NA","NA","NA",6.75,6.75,6.75,7.5,7.5,7.5,"NA","NA","NA","SC","Diploid",12,"Perennial",,"Woody",,"white, purple",,
"Solanum stramoniifolium var. inerme","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",7.2,5.7,8.7,"NA","NA","NA","SC",,,,,,,,,
"Solanum stuckertii",1.65,0.3,3,90,30,150,42.5,15,70,13.1666666667,10,19,4.5,3,6,11,7,15,8.5,7,10,20,10,30,"SI","Diploid",12,"Perennial","Shrub","Woody","Simple","white","Berry","Red, Orange"
"Solanum stupefactum","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,"Diploid",12,"Perennial","Shrub",,,,,
"Solanum sturtianum",1.875,0.5,3,45,30,60,9.5,5,15,17.5,15,20,"NA","NA","NA","NA","NA","NA","NA","NA","NA",12.5,10,15,,"Diploid",12,"Perennial","Shrub",,"Simple","purple","Berry","Yellow, Purple/Violet/Black, Brown"
"Solanum suaveolens",0.4,0.4,0.4,185,100,270,"NA","NA","NA",5.7333333333,5,6.5,"NA","NA","NA",6.1,6.1,6.1,3.3,3.2,3.5,20,20,20,"SC, SI","Diploid",12,"Annual","Herb, Vine","Herbaceous","Compound","white, yellow","Berry","Green, Purple/Violet/Black"
"Solanum subinerme",1.5,1.5,1.5,90,55,125,55,35,75,"NA","NA","NA",17.5,15,20,"NA","NA","NA",10,5,15,12.5,10,15,,,,,"Shrub",,"Simple","blue, purple","Berry","Red, Orange"
"Solanum subtilius","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SI","Diploid",12,,,,,,,
"Solanum subvelutinum","NA","NA","NA",100,50,150,"NA","NA","NA",3.6,3.6,3.6,"NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","SI",,,"Perennial","Vine","Woody","Compound","white","Berry","Green"
"Solanum sulphureum",1.7,0.9,2.5,94,65,123,40.5,23,58,"NA","NA","NA",14,14,14,"NA","NA","NA","NA","NA","NA",16.5,14,19,,,,"Perennial","Shrub",,"Simple","purple",,"Yellow, Green"
"Solanum sumacaspi",2,2,2,70,30,110,31.5,13,50,9.75,7,12.5,"NA","NA","NA","NA","NA","NA",1.1,1,1.2,"NA","NA","NA",,,,,"Shrub",,"Simple","white, cream",,
"Solanum superbum",5,5,5,235,170,300,140,120,160,11.25,10,12.5,"NA","NA","NA","NA","NA","NA",9,8,10,"NA","NA","NA",,,,,"Tree",,"Simple","white",,
"Solanum supinum",0.4,0.4,0.4,60,60,60,20,20,20,7.5,7.5,7.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA",15,15,15,"SC",,,"Perennial","Shrub, Subshrub",,"Simple","white, light blue, light purple","Berry","Yellow"
"Solanum sycocarpum",3.5,1,6,400,200,600,195,150,240,20,15,25,4,3,5,14,8,20,5,4,6,21.5,13,30,,"Diploid",12,,"Shrub, Tree",,"Simple","green, brown","Berry","Orange, Yellow"
"Solanum symmetricum",3.25,1.5,5,132.5,110,155,52.5,40,65,7.75,6.5,9,"NA","NA","NA","NA","NA","NA",5.5,5,6,10,10,10,,,,,"Shrub, Tree",,"Simple","white","Berry","Green"
"Solanum symonii",1.25,1,1.5,140,100,180,55,30,80,17.5,15,20,"NA","NA","NA","NA","NA","NA",10,10,10,15,10,20,"SC","Polyploid",46,"Perennial","Shrub","Woody","Simple","light purple, purple","Berry","Green, Purple/Violet/Black"
"Solanum tabanoense",0.6,0.6,0.6,65,65,65,25,25,25,9.3,9.3,9.3,"NA","NA","NA",11.4,9.6,20,6.9,6,7.1,55,55,55,"SI","Diploid",12,"Perennial","Herb, Vine, Subshrub","Woody","Simple","purple, light purple","Berry","Green, Purple/Violet/Black"
"Solanum tacanense","NA","NA","NA",140,140,140,"NA","NA","NA",4,4,4,"NA","NA","NA",5.5,5.5,5.5,2,2,2,10,10,10,"SI",,,"Perennial","Vine","Herbaceous, Woody","Compound",,"Berry","Red"
"Solanum tacnaense f. decurrentialatum",0.6,0.6,0.6,220,220,220,"NA","NA","NA",17.5,15,20,"NA","NA","NA","NA","NA","NA",9,7,11,"NA","NA","NA",,,,,,,"Compound","blue, purple",,
"Solanum tacnaense var. sandemanii",0.6,0.6,0.6,220,220,220,"NA","NA","NA",17.5,15,20,"NA","NA","NA","NA","NA","NA",9,7,11,"NA","NA","NA",,,,,,,"Compound","blue, purple",,
"Solanum taeniotrichum","NA","NA","NA",150,150,150,"NA","NA","NA",10.4,7.5,12.5,"NA","NA","NA","NA","NA","NA",8,8,8,12.5,10,15,"SI","Diploid",12,"Perennial","Vine","Woody","Compound","blue, purple","Berry",
"Solanum taitense",1,1,1,27.5,25,30,9,8,10,7.5,7.5,7.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA",5,5,5,,,,,"Shrub",,"Simple","blue, purple","Berry","Red"
"Solanum tanysepalum",1.75,1,2.5,150,100,200,65,40,90,6.75,6,7.5,"NA","NA","NA","NA","NA","NA",7,6,8,10,10,10,,"Diploid",12,"Perennial","Shrub","Woody","Simple","white","Berry","Green"
"Solanum tarderemotum","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA","NA",,,,,,,,"white, purple",,"Green"
"Solanum tarnii",0.8,0.8,0.8,"NA","NA","NA","NA","NA","NA",13,11,17.5,"NA","NA","NA","NA","NA","NA",11,10,13,"NA","NA","NA","SI","Diploid",12,"Perennial","Herb","Herbaceous","Compound","white","Berry","White, Green"
"Solanum taulisense","NA","NA","NA","NA","NA","NA","NA","NA","NA",16.25,15,17.5,"NA","NA","NA","NA","NA","NA","NA","NA","NA",25,25,25,,"Diploid",12,"Perennial",,"Herbaceous","Compound","blue, purple","Berry",
